time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-17T21:03:41.740Z,33.0318333,-116.4315,7.46,1.59,ml,44,70,0.1397,0.19,ci,ci37533434,2019-02-17T21:14:17.260Z,"17km ESE of Julian, CA",earthquake,0.28,1.39,0.18,26,automatic,ci,ci
2019-02-17T20:57:14.030Z,38.7464981,-122.7096634,1.94,2.24,md,14,67,0.05163,0.04,nc,nc73143211,2019-02-17T21:02:02.917Z,"4km SSW of Anderson Springs, CA",earthquake,0.22,0.9,0.2,15,automatic,nc,nc
2019-02-17T20:48:05.582Z,61.1996,-141.0808,25.1,2,ml,,,,1.03,ak,ak01927pzmlq,2019-02-17T20:50:18.038Z,"146km NNE of Cape Yakataga, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-02-17T20:47:29.507Z,63.4759,-149.7631,9.8,2.5,ml,,,,1,ak,ak01927pzavk,2019-02-17T20:54:10.034Z,"41km WNW of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-02-17T20:47:14.190Z,61.8113,-151.7965,231.9,2.8,ml,,,,1.03,ak,ak01927pzay5,2019-02-17T20:51:58.669Z,"93km W of Willow, Alaska",earthquake,,6.8,,,automatic,ak,ak
2019-02-17T20:47:13.558Z,62.6565,-151.8693,249.1,2.6,ml,,,,0.99,ak,ak01927pzgcq,2019-02-17T20:51:58.980Z,"98km WNW of Talkeetna, Alaska",earthquake,,5.3,,,automatic,ak,ak
2019-02-17T20:47:07.814Z,58.9154,-154.6475,250,2.2,ml,,,,0.7,ak,ak01927pzf3q,2019-02-17T20:51:59.341Z,"94km S of Old Iliamna, Alaska",earthquake,,9.3,,,automatic,ak,ak
2019-02-17T20:36:57.120Z,20.67,122.1377,171.24,4.7,mww,,105,2.352,0.95,us,us2000jjb5,2019-02-17T21:06:02.040Z,"30km NE of Basco, Philippines",earthquake,4.7,6.6,0.071,19,reviewed,us,us
2019-02-17T20:08:58.150Z,19.4085007,-155.2936707,-0.15,1.85,ml,18,62,0.006264,0.1,hv,hv70815311,2019-02-17T20:14:40.480Z,"6km WSW of Volcano, Hawaii",earthquake,0.19,0.26,3.95,7,automatic,hv,hv
2019-02-17T19:33:28.987Z,61.5959,-151.6459,249.9,2,ml,,,,0.95,ak,ak01927pb12a,2019-02-17T19:36:43.121Z,"86km W of Willow, Alaska",earthquake,,6.5,,,automatic,ak,ak
2019-02-17T19:22:27.430Z,-20.3387,-177.7004,539.58,4.8,mb,,130,4.774,0.84,us,us2000jjav,2019-02-17T19:38:42.040Z,"109km ENE of Ndoi Island, Fiji",earthquake,11.7,7.5,0.114,24,reviewed,us,us
2019-02-17T19:21:26.650Z,36.4193,141.9268,36.91,4.8,mww,,89,1.708,0.81,us,us2000jjay,2019-02-17T20:10:41.040Z,"112km ESE of Kitaibaraki, Japan",earthquake,8.2,5.4,0.075,17,reviewed,us,us
2019-02-17T19:07:42.330Z,36.5054,22.9237,10,4.8,mww,,91,1.045,1.39,us,us2000jjan,2019-02-17T19:31:35.040Z,"22km SSW of Gefyra, Greece",earthquake,5.3,1.9,0.069,20,reviewed,us,us
2019-02-17T18:33:48.230Z,34.0293333,-116.8023333,13.89,1.07,ml,26,74,0.1285,0.2,ci,ci37533370,2019-02-17T18:37:34.852Z,"12km N of Cabazon, CA",earthquake,0.34,1.01,0.154,27,automatic,ci,ci
2019-02-17T18:17:14.230Z,33.4976667,-116.7813333,4.45,0.54,ml,13,115,0.02162,0.14,ci,ci37533354,2019-02-17T18:20:56.581Z,"10km NE of Aguanga, CA",earthquake,0.38,0.45,0.116,8,automatic,ci,ci
2019-02-17T18:03:34.110Z,-17.9886,-177.8539,594.89,4.7,mb,,97,3.669,0.68,us,us2000jjag,2019-02-17T20:06:10.040Z,Fiji region,earthquake,18,14.6,0.093,35,reviewed,us,us
2019-02-17T18:00:59.804Z,63.2122,-150.2119,53.4,2,ml,,,,0.86,ak,ak01927oiody,2019-02-17T18:05:43.599Z,"66km WSW of Cantwell, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-02-17T17:29:55.394Z,61.3661,-150.019,32.7,1.9,ml,,,,0.49,ak,ak01927o3d0z,2019-02-17T17:33:17.120Z,"17km NNW of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-17T17:08:06.030Z,38.8517,-119.7037,6,1.1,ml,9,120.17,0.252,0.12,nn,nn00678067,2019-02-17T17:10:19.089Z,"5km SE of Gardnerville Ranchos, Nevada",earthquake,,12.7,,,automatic,nn,nn
2019-02-17T17:07:31.530Z,33.695,-116.727,15.75,0.73,ml,19,77,0.01935,0.14,ci,ci37533314,2019-02-17T17:11:13.185Z,"5km S of Idyllwild, CA",earthquake,0.45,0.39,0.261,10,automatic,ci,ci
2019-02-17T17:05:52.130Z,33.6863333,-116.7333333,14.44,1.41,ml,50,37,0.02948,0.17,ci,ci37533306,2019-02-17T17:16:47.740Z,"6km SSW of Idyllwild, CA",earthquake,0.22,0.3,0.18,28,automatic,ci,ci
2019-02-17T17:01:46.380Z,19.2105007,-155.4603271,32.27,1.85,md,30,189,0.05248,0.12,hv,hv70815141,2019-02-17T17:05:05.920Z,"2km ENE of Pahala, Hawaii",earthquake,0.78,1.2,0.05,4,automatic,hv,hv
2019-02-17T17:01:35.890Z,53.7089,161.0614,38.2,4.4,mb,,157,1.6,1.02,us,us2000jja8,2019-02-17T20:29:25.040Z,"176km ENE of Petropavlovsk-Kamchatskiy, Russia",earthquake,11.3,7.3,0.134,16,reviewed,us,us
2019-02-17T16:53:20.650Z,18.2293,-66.598,16,1.55,md,3,224,0.1556,0.12,pr,pr2019048016,2019-02-17T20:25:29.202Z,"1km NNW of Jayuya, Puerto Rico",earthquake,7.77,5.96,0.14,3,reviewed,pr,pr
2019-02-17T16:49:06.033Z,61.3891,-150.0713,32.9,1.6,ml,,,,0.53,ak,ak01927nm3xm,2019-02-17T16:52:59.700Z,"16km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-17T16:40:33.430Z,18.8238,-67.1376,50,2.04,md,6,303,0.3573,0.15,pr,pr2019048015,2019-02-17T20:24:46.260Z,"36km N of San Antonio, Puerto Rico",earthquake,1.51,1.99,0.36,4,reviewed,pr,pr
2019-02-17T16:35:23.910Z,19.089,-66.5375,59,2.38,md,7,295,0.7733,0.31,pr,pr2019048014,2019-02-17T20:24:04.131Z,"69km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,4.35,8.58,0.42,5,reviewed,pr,pr
2019-02-17T16:01:28.640Z,33.4808333,-116.4981667,13.19,0.75,ml,22,95,0.07395,0.14,ci,ci37533274,2019-02-17T16:05:11.111Z,"18km ESE of Anza, CA",earthquake,0.31,0.54,0.189,13,automatic,ci,ci
2019-02-17T15:34:56.514Z,63.2486,-150.4833,124,1.8,ml,,,,0.37,ak,ak01927mxkhb,2019-02-17T15:40:26.728Z,"78km W of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-02-17T15:18:42.070Z,34.0601667,-117.6328333,9.46,1.11,ml,12,94,0.08105,0.22,ci,ci37533266,2019-02-17T15:22:22.483Z,"1km NNW of Ontario, CA",earthquake,0.61,1.47,0.304,27,automatic,ci,ci
2019-02-17T14:46:15.820Z,33.5771667,-116.8158333,8.45,1.01,ml,37,37,0.04622,0.16,ci,ci37533242,2019-02-17T14:49:53.313Z,"13km W of Anza, CA",earthquake,0.22,0.5,0.216,27,automatic,ci,ci
2019-02-17T14:35:56.270Z,-3.3852,152.1089,367.93,6.4,mww,,23,0.802,1.51,us,us2000jj68,2019-02-17T16:42:34.375Z,"47km NW of Namatanai, Papua New Guinea",earthquake,9.1,5.8,0.054,33,reviewed,us,us
2019-02-17T14:24:41.369Z,63.1839,-151.4326,11.2,1.1,ml,,,,0.67,ak,ak01927m9yjs,2019-02-17T14:27:57.009Z,"117km NW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-02-17T14:23:23.400Z,34.0565,-117.4966667,3.9,1.45,ml,51,27,0.03513,0.19,ci,ci37533226,2019-02-17T14:34:27.140Z,"5km NNW of Glen Avon, CA",earthquake,0.19,0.69,0.162,27,automatic,ci,ci
2019-02-17T14:18:17.410Z,34.0605,-117.4945,3.03,2.12,ml,81,22,0.03353,0.2,ci,ci37533218,2019-02-17T18:15:55.881Z,"5km SW of Fontana, CA",earthquake,0.16,0.35,0.207,24,automatic,ci,ci
2019-02-17T14:04:14.960Z,36.4296684,-121.0056686,7.3,1.88,md,14,176,0.01193,0.03,nc,nc73143176,2019-02-17T14:34:03.592Z,"17km SE of Pinnacles, CA",earthquake,0.37,0.59,0.32,10,automatic,nc,nc
2019-02-17T13:46:57.087Z,61.3614,-150.1226,21.3,2.8,ml,,,,0.84,ak,ak01927lt9y0,2019-02-17T17:03:10.108Z,"19km NW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T13:33:41.190Z,37.8482,-115.91,26.5,2,ml,10,134.45,1.112,0.26,nn,nn00678042,2019-02-17T13:52:56.008Z,"55km SE of Warm Springs, Nevada",earthquake,,23,,,automatic,nn,nn
2019-02-17T13:24:25.610Z,34.057,-117.4976667,3.48,1.38,ml,40,33,0.03421,0.15,ci,ci37533210,2019-02-17T13:35:03.080Z,"5km NNW of Glen Avon, CA",earthquake,0.17,0.27,0.149,27,automatic,ci,ci
2019-02-17T13:22:08.130Z,-23.4992,-64.6382,10,5,mww,,79,3.302,1.26,us,us2000jj5u,2019-02-17T13:40:46.040Z,"23km NW of Yuto, Argentina",earthquake,8.3,1.9,0.073,18,reviewed,us,us
2019-02-17T13:02:29.960Z,19.4055004,-155.2624969,0.41,1.84,ml,19,86,0.007003,0.15,hv,hv70814981,2019-02-17T19:47:56.632Z,"3km SW of Volcano, Hawaii",earthquake,0.18,0.26,0.27,12,automatic,hv,hv
2019-02-17T12:32:05.331Z,63.0915,-151.556,1.3,2.7,ml,,,,1.06,ak,ak01927l4qa6,2019-02-17T13:19:25.040Z,"113km NW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-17T12:30:51.860Z,34.058,-117.4961667,3.44,1.22,ml,37,39,0.0343,0.16,ci,ci37533202,2019-02-17T12:34:36.598Z,"5km NNW of Glen Avon, CA",earthquake,0.17,0.28,0.191,29,automatic,ci,ci
2019-02-17T12:29:51.110Z,34.0615,-117.4933333,2.85,1.18,ml,35,31,0.03361,0.18,ci,ci37533194,2019-02-17T12:33:19.382Z,"5km SW of Fontana, CA",earthquake,0.24,0.4,0.157,29,automatic,ci,ci
2019-02-17T12:28:10.090Z,17.8881,-66.0156,12,2.07,md,9,258,0.1195,0.09,pr,pr2019048013,2019-02-17T15:56:36.511Z,"9km SSE of Arroyo, Puerto Rico",earthquake,0.63,0.3,0.66,7,reviewed,pr,pr
2019-02-17T12:25:35.393Z,63.1068,-151.5632,7.2,2.8,ml,,,,0.92,ak,ak01927l3akq,2019-02-17T13:12:42.040Z,"114km NW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-17T11:50:35.620Z,19.2296,-66.5465,40,3,md,5,315,0.7527,0.13,pr,pr2019048012,2019-02-17T15:55:58.216Z,"85km NNE of Arecibo, Puerto Rico",earthquake,1.49,5.56,0.09,3,reviewed,pr,pr
2019-02-17T11:36:47.650Z,35.2854996,-118.5321655,5.05,3.44,ml,87,38,0.0913,0.15,ci,ci37533186,2019-02-17T19:29:11.501Z,"19km NNW of Tehachapi, CA",earthquake,0.17,0.61,0.277,20,reviewed,ci,ci
2019-02-17T11:29:17.260Z,-55.1028,-31.6533,10,5,mb,,92,2.923,0.74,us,us2000jj4h,2019-02-17T11:45:01.040Z,South Georgia Island region,earthquake,11.5,1.9,0.07,65,reviewed,us,us
2019-02-17T11:13:53.670Z,36.8787,-117.662,0.2,0.8,ml,9,234.85,0.328,0.06,nn,nn00678023,2019-02-17T11:15:58.647Z,"46km NE of Lone Pine, California",earthquake,,9.3,,,automatic,nn,nn
2019-02-17T10:59:13.210Z,33.4993333,-116.785,4,0.32,ml,15,111,0.01826,0.19,ci,ci37533170,2019-02-17T11:02:55.685Z,"10km NE of Aguanga, CA",earthquake,0.48,0.64,0.116,5,automatic,ci,ci
2019-02-17T10:51:14.970Z,19.2251,-66.5153,12,2.79,md,10,314,0.7481,0.26,pr,pr2019048007,2019-02-17T12:16:13.350Z,"84km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,9.15,12.82,0.25,7,reviewed,pr,pr
2019-02-17T10:34:30.320Z,18.9878,-66.9285,33,2.99,md,12,223,0.5514,0.49,pr,pr2019048011,2019-02-17T13:14:43.052Z,"54km N of Isabela, Puerto Rico",earthquake,2.08,8.47,0.11,6,reviewed,pr,pr
2019-02-17T10:26:53.200Z,-50.8666,-74.5527,12.74,4.3,mb,,205,1.522,1.06,us,us2000jj3z,2019-02-17T10:53:38.040Z,"171km WSW of El Calafate, Argentina",earthquake,11.4,6.8,0.097,30,reviewed,us,us
2019-02-17T10:17:56.080Z,19.5415,-67.8933,70,2.83,md,5,293,1.1375,0.61,pr,pr2019048010,2019-02-17T13:08:16.040Z,"75km NNE of Punta Cana, Dominican Republic",earthquake,11.68,22.96,0.54,4,reviewed,pr,pr
2019-02-17T10:14:25.700Z,18.832,-68.6321,95,2.78,md,7,195,0.405,0.5,pr,pr2019048009,2019-02-17T13:06:36.040Z,"12km NNW of Otra Banda, Dominican Republic",earthquake,8.3,2.74,0.48,4,reviewed,pr,pr
2019-02-17T10:07:31.510Z,-26.3966,178.4366,614.34,4.6,mb,,124,8.617,0.68,us,us2000jj3x,2019-02-17T10:26:12.040Z,South of the Fiji Islands,earthquake,13.1,9.4,0.084,42,reviewed,us,us
2019-02-17T10:04:20.420Z,20.139,-155.8163,26.09,3.1,ml,,138,0.091,0.32,us,us2000jj3u,2019-02-17T19:51:00.081Z,"10km S of Kapaau, Hawaii",earthquake,4.1,8.7,0.057,40,reviewed,us,us
2019-02-17T09:58:59.620Z,19.4063339,-155.2868347,-1.08,1.91,md,8,91,0.01156,0.16,hv,hv70814841,2019-02-17T18:01:42.834Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.7,0.15,6,automatic,hv,hv
2019-02-17T09:55:24.190Z,38.3516655,-122.4018326,8.27,3.7,mw,56,60,0.04493,0.12,nc,nc73143141,2019-02-17T21:11:31.400Z,"7km SSW of Yountville, CA",earthquake,0.21,0.52,,5,reviewed,nc,nc
2019-02-17T09:26:36.730Z,-11.5408,118.8331,10,4.2,mb,,92,4.423,0.77,us,us2000jj3r,2019-02-17T09:45:24.040Z,"205km SW of Tawui, Indonesia",earthquake,5.5,1.9,0.121,19,reviewed,us,us
2019-02-17T09:17:32.130Z,46.624,-119.8115,7,0.96,ml,15,83,,0.06,uw,uw61511926,2019-02-17T17:57:58.520Z,"10km SE of Desert Aire, Washington",earthquake,0.21,0.16,0.072721113,10,reviewed,uw,uw
2019-02-17T09:02:55.140Z,15.895,-87.5392,10,3.9,mb,,58,1.845,1.1,us,us2000jj3j,2019-02-17T20:12:15.383Z,"15km NW of Tela, Honduras",earthquake,4,2,0.114,20,reviewed,us,us
2019-02-17T09:00:00.217Z,64.9305,-146.4386,11.4,2,ml,,,,0.67,ak,ak01927j5k68,2019-02-17T09:06:27.188Z,"41km NE of Eielson Air Force Base, Alaska",earthquake,,0.2,,,automatic,ak,ak
